2026-05-23 15:02:17 | stock_ai.groww_mcp | INFO     | groww_mcp:105 | Initializing Groww MCP Client Session...
2026-05-23 15:02:47 | stock_ai.groww_mcp | WARNING  | groww_mcp:148 | Groww MCP not ready — returning empty result
2026-05-23 15:03:19 | stock_ai.groww_mcp | ERROR    | groww_mcp:154 | MCP coroutine failed: 
2026-05-24 20:11:36 | stock_ai.groww_mcp | INFO     | groww_mcp:105 | Initializing Groww MCP Client Session...
2026-05-24 20:11:38 | stock_ai.groww_mcp | ERROR    | groww_mcp:118 | ❌ Failed to initialize MCP Session: Connection closed
2026-05-24 20:11:38 | stock_ai.groww_mcp | WARNING  | groww_mcp:76 | Groww MCP connection failed (attempt 1/1): Connection closed
2026-05-24 20:11:38 | stock_ai.groww_mcp | WARNING  | groww_mcp:80 | ⚠️  Groww MCP: max attempts reached. Price data will be unavailable. To fix: authorize at the Groww URL that was printed above, then restart the app.
2026-05-24 20:12:06 | stock_ai.groww_mcp | WARNING  | groww_mcp:148 | Groww MCP not ready — returning empty result
2026-05-24 20:13:44 | stock_ai.groww_mcp | INFO     | groww_mcp:105 | Initializing Groww MCP Client Session...
2026-05-24 20:13:48 | stock_ai.groww_mcp | INFO     | groww_mcp:116 | ✅ Groww MCP Session initialized successfully!
2026-06-01 22:14:37 | stock_ai.groww_mcp | INFO     | groww_mcp:105 | Initializing Groww MCP Client Session...
2026-06-01 22:14:42 | stock_ai.groww_mcp | INFO     | groww_mcp:116 | ✅ Groww MCP Session initialized successfully!
2026-06-08 00:26:48 | stock_ai.groww_mcp | INFO     | groww_mcp:105 | Initializing Groww MCP Client Session...
2026-06-08 00:26:49 | stock_ai.groww_mcp | INFO     | groww_mcp:116 | ✅ Groww MCP Session initialized successfully!
2026-06-08 00:29:13 | stock_ai.groww_mcp | INFO     | groww_mcp:105 | Initializing Groww MCP Client Session...
2026-06-08 00:29:14 | stock_ai.groww_mcp | INFO     | groww_mcp:116 | ✅ Groww MCP Session initialized successfully!
