2026-06-16 23:07:28 | stock_ai.tools | INFO     | tools:198 | Agentic Web Search: 'MCCHRLS-B.NS stock news and analysis'
2026-06-16 23:07:32 | stock_ai.tools | WARNING  | tools:113 | gnews search failed for 'MCCHRLS-B.NS stock news and analysis': No module named 'gnews'
2026-06-16 23:07:32 | stock_ai.tools | WARNING  | tools:148 | DDG search failed for 'MCCHRLS-B.NS stock news and analysis': No module named 'ddgs'
2026-06-16 23:07:51 | stock_ai.tools | INFO     | tools:198 | Agentic Web Search: 'RELIANCE.NS recent news'
2026-06-16 23:07:52 | stock_ai.tools | INFO     | tools:88 | yFinance News: 2 results for 'RELIANCE.NS'
2026-06-16 23:07:52 | stock_ai.tools | INFO     | tools:198 | Agentic Web Search: 'Indian market crash today'
2026-06-16 23:07:52 | stock_ai.tools | WARNING  | tools:113 | gnews search failed for 'Indian market crash today': No module named 'gnews'
2026-06-16 23:07:52 | stock_ai.tools | WARNING  | tools:148 | DDG search failed for 'Indian market crash today': No module named 'ddgs'
2026-06-16 23:08:06 | stock_ai.tools | INFO     | tools:198 | Agentic Web Search: 'MCCHRLS-B.NS stock news and analysis'
2026-06-16 23:08:08 | stock_ai.tools | WARNING  | tools:113 | gnews search failed for 'MCCHRLS-B.NS stock news and analysis': No module named 'gnews'
2026-06-16 23:08:08 | stock_ai.tools | WARNING  | tools:148 | DDG search failed for 'MCCHRLS-B.NS stock news and analysis': No module named 'ddgs'
2026-06-16 23:08:25 | stock_ai.tools | INFO     | tools:198 | Agentic Web Search: 'RELIANCE.NS recent news'
2026-06-16 23:08:25 | stock_ai.tools | INFO     | tools:88 | yFinance News: 2 results for 'RELIANCE.NS'
2026-06-16 23:08:25 | stock_ai.tools | INFO     | tools:198 | Agentic Web Search: 'Indian market crash today'
2026-06-16 23:08:25 | stock_ai.tools | WARNING  | tools:113 | gnews search failed for 'Indian market crash today': No module named 'gnews'
2026-06-16 23:08:25 | stock_ai.tools | WARNING  | tools:148 | DDG search failed for 'Indian market crash today': No module named 'ddgs'
